REGION,SUBURB,LOCATION,TYPE,SURFACE,IMAGE_LINK,Location 1,LATITUDE,LONGITUDE
Belconnen,Belconnen,Lake Ginninderra Bridge West,Underbridge,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.22892756879682, 149.07646363655954)",-35.22892757,149.0764636
Belconnen,Belconnen,Lake Ginninderra Bridge East,Underbridge,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.22989872279846, 149.0777268794141)",-35.22989872,149.0777269
Tuggeranong,Calwell,Wall Of Bridge And Stormwater Drain Under Tharwa Dr,Underpass Stormwater Drain,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.43782981922388, 149.12366278834858)",-35.43782982,149.1236628
Woden Weston,Chifley,Chifley Oval Toilet Block,Toilet Block,Brick,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.35081874360807, 149.07779158768264)",-35.35081874,149.0777916
Woden Weston,Chifley,Tuggeranong Pwy Underpass Between Warramanga And Chifley,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.35755003594442, 149.06946138447248)",-35.35755004,149.0694614
Woden Weston,Curtin,Mcculloch St Underpass,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.31664081840338, 149.08181916127785)",-35.31664082,149.0818192
Belconnen,Florey,John Cleland Cres Underpass Near Florey Shops,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.225452257669744, 149.05539411384902)",-35.22545226,149.0553941
Gungahlin,Forde,Handbury Way Underpass,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.158836547443805, 149.1493958254703)",-35.15883655,149.1493958
Tuggeranong,Greenway,Athllon Dr Underpass,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.39779386689123, 149.0687869796243)",-35.39779387,149.068787
Belconnen,Hawker,"Hawker College Basketball Court, Murranji Street",Hit Up Wall,Brick,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.24580875253142, 149.034173265157)",-35.24580875,149.0341733
Weston Creek,Holder,Cotter Road Cycle Underpass,Underpass,Concete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.3272298024075, 149.05127453591766)",-35.3272298,149.0512745
Tuggeranong,Isabella Plains,Ashley Drive At Tuggeranong Creek,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.42531471260325, 149.10322043041904)",-35.42531471,149.1032204
Tuggeranong,Isabella Plains,Road Bridge Narooma St,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.42873990010597, 149.0865929168742)",-35.4287399,149.0865929
Belconnen,Kaleen,Maribrynong Ave Underpass Between Tyrrell And Moruya,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.22213891484769, 149.1111269309649)",-35.22213891,149.1111269
Belconnen,Kaleen,Maribrynong Ave Underpass Between Diamantina And Daintree Cres,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.23284055754549, 149.10679699531252)",-35.23284056,149.106797
Tuggeranong,Kambah,"Mount Neighbour Primary, Boddington Crescent",Hit Up Wall,Brick,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.383498654873165, 149.05255827975085)",-35.38349865,149.0525583
Belconnen,Latham,Florey Dr Underpass,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.215151711452386, 149.0197755181514)",-35.21515171,149.0197755
Belconnen,Latham,Ginninderra Dr Underpass Ginninderra Ck,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.210592020398295, 149.0369521675235)",-35.21059202,149.0369522
Inner North,Lyneham,Lyneham Primary School Oval,Toilet Block,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.25087953136395, 149.12913735345964)",-35.25087953,149.1291374
Belconnen,Melba,Old Depot Wall South Facing Tenis Court,Old Depot Building,Brick,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.21422515376096, 149.05274050900337)",-35.21422515,149.0527405
Inner South,Narrabundah,Jerrabomberra Sports Ground,Toilet Block,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.332428575575875, 149.14617002224725)",-35.33242858,149.14617
Gungahlin,Ngunnawal,Yerrabi Spillway Mirrabei Dr,Spillway,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.17780084489508, 149.12440893570235)",-35.17780084,149.1244089
Gungahlin,Nicholls,Kelleway Ave Underpass,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.1785303858001, 149.10598514662763)",-35.17853039,149.1059851
Woden Weston,Waramanga,Damala St Underpass,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.34938567290732, 149.0572590008966)",-35.34938567,149.057259
Woden Weston,Woden,Launceston Street Underpass Near Phillip College,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.34137333271161, 149.08769687954356)",-35.34137333,149.0876969